0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,32,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,40,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,40,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,38,39,40,
0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,0,9,10,11,0,0,0,48,0,0,0,0,0,9,10,11,0,0,0,0,0,1,2,3,0,0,0,48,48,0,0,0,38,39,40,
0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,17,18,19,0,1,2,2,2,2,2,3,0,17,18,19,0,0,0,0,0,9,10,11,0,0,1,2,2,2,2,2,2,2,3,
0,0,0,0,0,0,0,0,0,48,0,0,9,10,11,0,0,0,0,0,9,10,10,10,10,10,11,0,0,0,0,0,1,2,3,0,17,18,19,0,0,9,10,10,10,10,10,10,10,11,
1,2,2,2,2,2,2,2,2,2,3,0,17,18,19,0,0,0,0,0,17,18,18,18,18,18,19,0,0,0,0,0,9,10,11,0,0,0,0,0,0,9,10,10,10,10,10,10,10,11,
9,10,10,10,10,10,10,10,10,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,19,0,0,0,0,0,0,17,18,18,18,18,18,18,18,19
